job_id,job_description,resume,Match Score (%),Gap Topics,Study Material Link
JID018,"DevOps Engineer -  C#, React, Angular, CI/CD, Docker, Node.js.","REST APIs, JavaScript, AWS, Kubernetes, CSS, HTML, GCP, React, Docker.",59.22131538391113,,
JID027,"QA Engineer -  NoSQL, Machine Learning, Azure, Kubernetes, CSS, HTML, C#.","Java, Agile Methodologies, AWS, Kubernetes, C++.",58.944833278656006,css,https://developer.mozilla.org/en-US/docs/Web/CSS
JID073,"Embedded Systems Engineer -  REST APIs, CSS, AWS, Angular, Data Analysis.","JavaScript, NoSQL, CI/CD, REST APIs, Linux, GCP, Machine Learning, Python, Data Analysis.",57.95626640319824,"aws, css","https://aws.amazon.com/training/, https://developer.mozilla.org/en-US/docs/Web/CSS"
JID005,"DevOps Engineer -  Azure, CI/CD, Docker, Data Analysis, SQL, GCP, Node.js, REST APIs.","HTML, Machine Learning, Python, NoSQL, Agile Methodologies, Linux, Kubernetes, SQL, C++.",57.42133855819702,"rest, docker","https://restfulapi.net/, https://www.docker.com/101-tutorial"
JID029,"Data Engineer -  C++, Docker, Python, HTML, Node.js.","C++, AWS, GCP, REST APIs, CSS, CI/CD, Java, Angular.",57.08037614822388,"python, docker","https://www.learnpython.org/, https://www.docker.com/101-tutorial"
JID007,"Embedded Systems Engineer -  Data Analysis, CSS, GCP, REST APIs, SQL, HTML, C++, React, Linux.","Node.js, Docker, Data Analysis, Python, Kubernetes, HTML, CI/CD, Java.",54.99829053878784,"linux, rest, sql, css, react","https://www.edx.org/learn/linux, https://restfulapi.net/, https://www.w3schools.com/sql/, https://developer.mozilla.org/en-US/docs/Web/CSS, https://reactjs.org/docs/getting-started.html"
JID024,"Cloud Engineer -  REST APIs, GCP, Linux, Agile Methodologies, Node.js, AWS, Data Analysis, NoSQL, Angular, Java.","SQL, Docker, Data Analysis, Git, HTML, Java, Machine Learning, JavaScript.",54.62189316749573,"aws, rest, linux","https://aws.amazon.com/training/, https://restfulapi.net/, https://www.edx.org/learn/linux"
JID010,"Database Administrator -  Python, SQL, Node.js, REST APIs, NoSQL, GCP, Java.","Git, React, HTML, Azure, NoSQL.",54.565733671188354,"python, rest, sql, java","https://www.learnpython.org/, https://restfulapi.net/, https://www.w3schools.com/sql/, https://www.javatpoint.com/java-tutorial"
JID063,"Database Administrator -  Agile Methodologies, Machine Learning, Angular, AWS, Kubernetes, GCP.","Azure, C++, Docker, React, HTML, AWS, JavaScript, GCP, Angular.",54.21663522720337,,
JID043,"Database Administrator -  Node.js, Python, SQL, Machine Learning, REST APIs, Docker, HTML, GCP, NoSQL.","AWS, Java, SQL, C#, Docker, Linux.",53.716057538986206,"python, rest","https://www.learnpython.org/, https://restfulapi.net/"
JID034,"Backend Developer -  Java, Agile Methodologies, Data Analysis, CSS, Kubernetes.","GCP, Machine Learning, Kubernetes, Python, NoSQL, Azure.",52.9593825340271,"java, css","https://www.javatpoint.com/java-tutorial, https://developer.mozilla.org/en-US/docs/Web/CSS"
JID021,"Embedded Systems Engineer -  GCP, AWS, Azure, NoSQL, C++, CSS.","NoSQL, SQL, Python, GCP, Docker, React.",52.11477279663086,"aws, css","https://aws.amazon.com/training/, https://developer.mozilla.org/en-US/docs/Web/CSS"
JID084,"Mobile Developer -  Java, Angular, CI/CD, Azure, Agile Methodologies, Kubernetes, Python, JavaScript.","Machine Learning, CI/CD, Python, Java, CSS, Kubernetes, React, NoSQL, JavaScript.",50.76243877410889,,
JID016,"Cloud Engineer -  Data Analysis, Azure, C++, Kubernetes, Python, GCP, Angular, React.","SQL, AWS, REST APIs, GCP, Docker.",50.70524215698242,"react, python","https://reactjs.org/docs/getting-started.html, https://www.learnpython.org/"
JID056,"Database Administrator -  Docker, Angular, Node.js, CSS, Data Analysis, Kubernetes, Linux.","C#, Kubernetes, CI/CD, Machine Learning, SQL, REST APIs, C++, Git.",50.30090808868408,"linux, css, docker","https://www.edx.org/learn/linux, https://developer.mozilla.org/en-US/docs/Web/CSS, https://www.docker.com/101-tutorial"
JID020,"Embedded Systems Engineer -  SQL, Git, REST APIs, Docker, CI/CD.","Data Analysis, C++, Angular, Python, CI/CD, CSS, REST APIs.",49.691975116729736,"sql, docker","https://www.w3schools.com/sql/, https://www.docker.com/101-tutorial"
JID070,"Machine Learning Engineer -  Java, HTML, Kubernetes, Linux, GCP, Git.","CSS, Java, Node.js, Docker, Linux, Angular, C#, Data Analysis.",48.997002840042114,,
JID030,"Database Administrator -  CI/CD, Java, AWS, Agile Methodologies, Git, React.","Machine Learning, Angular, React, Docker, CI/CD, NoSQL, Azure, Java.",48.83139729499817,aws,https://aws.amazon.com/training/
JID015,"Data Engineer -  CI/CD, C#, Python, Machine Learning, Node.js, JavaScript, SQL.","Linux, AWS, Agile Methodologies, GCP, Git.",48.22065830230713,"python, sql","https://www.learnpython.org/, https://www.w3schools.com/sql/"
JID067,"Database Administrator -  Node.js, REST APIs, Docker, C++, React, CSS, AWS, CI/CD.","Node.js, CSS, Kubernetes, CI/CD, Data Analysis, C#, HTML, C++.",48.174887895584106,"aws, react, rest, docker","https://aws.amazon.com/training/, https://reactjs.org/docs/getting-started.html, https://restfulapi.net/, https://www.docker.com/101-tutorial"
JID100,"Full Stack Developer -  Linux, Python, Angular, NoSQL, React.","Node.js, CI/CD, JavaScript, Java, REST APIs, Linux, Machine Learning, C++.",47.997644543647766,"react, python","https://reactjs.org/docs/getting-started.html, https://www.learnpython.org/"
JID017,"Frontend Developer -  JavaScript, Node.js, AWS, Python, C++.","Docker, Git, HTML, NoSQL, C++.",47.067493200302124,"aws, python","https://aws.amazon.com/training/, https://www.learnpython.org/"
JID036,"Full Stack Developer -  Python, JavaScript, Docker, Machine Learning, Git, Kubernetes.","AWS, SQL, Docker, Node.js, REST APIs, CI/CD, Python, Azure, HTML.",47.048693895339966,,
JID092,"Database Administrator -  AWS, Data Analysis, Azure, REST APIs, Git, Node.js.","JavaScript, AWS, C#, Python, CI/CD, Node.js.",46.833282709121704,rest,https://restfulapi.net/
JID001,"Backend Developer -  Azure, Java, Docker, SQL, GCP, JavaScript.","Agile Methodologies, Git, REST APIs, AWS, React, Linux, CI/CD, SQL, NoSQL.",46.10072374343872,"java, docker","https://www.javatpoint.com/java-tutorial, https://www.docker.com/101-tutorial"
JID022,"Machine Learning Engineer -  NoSQL, C#, Linux, Kubernetes, Node.js, C++, Data Analysis, Angular, JavaScript, HTML.","REST APIs, C#, Git, Python, HTML, Azure, Kubernetes.",45.85238993167877,linux,https://www.edx.org/learn/linux
JID037,"Embedded Systems Engineer -  HTML, Linux, REST APIs, Angular, Python.","GCP, C#, Data Analysis, JavaScript, Git, Kubernetes, Azure.",45.463550090789795,"linux, python, rest","https://www.edx.org/learn/linux, https://www.learnpython.org/, https://restfulapi.net/"
JID076,"Machine Learning Engineer -  Agile Methodologies, Machine Learning, Angular, SQL, HTML, Data Analysis, CI/CD, NoSQL, Azure, Linux.","Java, C#, Angular, React, Docker, C++.",45.249202847480774,"linux, sql","https://www.edx.org/learn/linux, https://www.w3schools.com/sql/"
JID059,"QA Engineer -  CSS, GCP, Linux, Java, HTML.","Python, Node.js, Agile Methodologies, Git, REST APIs, NoSQL, Azure.",45.21445035934448,"linux, java, css","https://www.edx.org/learn/linux, https://www.javatpoint.com/java-tutorial, https://developer.mozilla.org/en-US/docs/Web/CSS"
JID003,"DevOps Engineer -  JavaScript, Agile Methodologies, CI/CD, REST APIs, Python.","REST APIs, SQL, Machine Learning, Azure, Kubernetes, C#.",45.15734910964966,python,https://www.learnpython.org/
JID008,"Frontend Developer -  React, Git, GCP, C++, REST APIs.","CI/CD, Node.js, Kubernetes, Linux, React, C++, HTML.",44.05277669429779,rest,https://restfulapi.net/
JID009,"QA Engineer -  Agile Methodologies, JavaScript, C++, Data Analysis, Java, Machine Learning.","Data Analysis, GCP, Kubernetes, Node.js, Git, C++, Angular, C#, SQL, Docker.",42.6658034324646,java,https://www.javatpoint.com/java-tutorial
JID083,"Full Stack Developer -  Machine Learning, Java, GCP, Data Analysis, Docker, Azure, SQL, Git.","Docker, C#, CI/CD, Git, CSS.",42.66209602355957,"java, sql","https://www.javatpoint.com/java-tutorial, https://www.w3schools.com/sql/"
JID093,"Data Engineer -  Data Analysis, C++, HTML, JavaScript, Git.","C++, JavaScript, Node.js, Java, Azure.",42.52849221229553,,
JID057,"Database Administrator -  Node.js, React, C++, Angular, CI/CD, Data Analysis.","Node.js, Machine Learning, NoSQL, Azure, Kubernetes.",42.24148392677307,react,https://reactjs.org/docs/getting-started.html
JID025,"Machine Learning Engineer -  Docker, Data Analysis, CSS, SQL, CI/CD, JavaScript, Linux, C#, Angular, C++.","Python, Azure, REST APIs, HTML, Git, AWS, C++.",42.15356707572937,"linux, sql, css, docker","https://www.edx.org/learn/linux, https://www.w3schools.com/sql/, https://developer.mozilla.org/en-US/docs/Web/CSS, https://www.docker.com/101-tutorial"
JID012,"QA Engineer -  GCP, CI/CD, Agile Methodologies, SQL, Docker, Java, Linux.","Machine Learning, C++, CI/CD, Java, AWS, NoSQL, React, HTML, CSS.",42.03422665596008,"linux, sql, docker","https://www.edx.org/learn/linux, https://www.w3schools.com/sql/, https://www.docker.com/101-tutorial"
JID042,"Frontend Developer -  Kubernetes, CSS, Angular, Machine Learning, NoSQL, Linux, SQL, AWS, Azure, Agile Methodologies.","JavaScript, Docker, React, Python, Node.js, C++.",41.91810488700867,"aws, linux, css, sql","https://aws.amazon.com/training/, https://www.edx.org/learn/linux, https://developer.mozilla.org/en-US/docs/Web/CSS, https://www.w3schools.com/sql/"
JID068,"DevOps Engineer -  REST APIs, CSS, Angular, CI/CD, Node.js.","HTML, Kubernetes, NoSQL, Python, GCP.",41.671022772789,"rest, css","https://restfulapi.net/, https://developer.mozilla.org/en-US/docs/Web/CSS"
JID011,"Full Stack Developer -  JavaScript, CI/CD, Python, GCP, Azure, Docker, Java, Node.js.","Linux, C#, React, SQL, Python, CSS, Data Analysis, REST APIs, Java.",41.28922522068024,docker,https://www.docker.com/101-tutorial
JID045,"Backend Developer -  Angular, REST APIs, Linux, Machine Learning, Data Analysis, Java.","Docker, Python, Java, C#, Linux, CSS.",38.94016146659851,rest,https://restfulapi.net/
JID051,"Database Administrator -  C++, Agile Methodologies, Data Analysis, Azure, Docker.","HTML, REST APIs, AWS, React, GCP, CI/CD, JavaScript, Docker.",38.62752914428711,,
JID096,"Mobile Developer -  SQL, JavaScript, Python, React, Machine Learning, CSS, CI/CD.","AWS, Linux, Azure, Kubernetes, Python, Angular, Data Analysis, REST APIs.",37.69298195838928,"react, sql, css","https://reactjs.org/docs/getting-started.html, https://www.w3schools.com/sql/, https://developer.mozilla.org/en-US/docs/Web/CSS"
JID099,"Backend Developer -  Java, Machine Learning, CSS, Agile Methodologies, CI/CD, HTML, GCP, Python.","Git, REST APIs, SQL, Node.js, Docker.",37.294912338256836,"python, java, css","https://www.learnpython.org/, https://www.javatpoint.com/java-tutorial, https://developer.mozilla.org/en-US/docs/Web/CSS"
JID040,"Embedded Systems Engineer -  HTML, CI/CD, JavaScript, AWS, C#, React, Angular, Kubernetes, Node.js, CSS.","SQL, Machine Learning, CSS, C#, CI/CD, Docker, Data Analysis.",36.81456446647644,"aws, react","https://aws.amazon.com/training/, https://reactjs.org/docs/getting-started.html"
JID090,"Frontend Developer -  SQL, Angular, Azure, Linux, NoSQL.","React, C++, GCP, REST APIs, AWS.",33.9571475982666,"linux, sql","https://www.edx.org/learn/linux, https://www.w3schools.com/sql/"
JID078,"DevOps Engineer -  Kubernetes, Agile Methodologies, Data Analysis, Python, AWS.","Java, HTML, CI/CD, C++, REST APIs, Git, Angular.",30.91423213481903,"aws, python","https://aws.amazon.com/training/, https://www.learnpython.org/"
JID013,"Database Administrator -  C#, C++, Angular, Git, Kubernetes, Docker, CI/CD.","GCP, C++, React, Agile Methodologies, Machine Learning, Data Analysis.",30.45905828475952,docker,https://www.docker.com/101-tutorial
JID046,"Mobile Developer -  AWS, C#, Kubernetes, Java, Python, React.","Node.js, NoSQL, CSS, CI/CD, Machine Learning.",28.030511736869812,"aws, python, java, react","https://aws.amazon.com/training/, https://www.learnpython.org/, https://www.javatpoint.com/java-tutorial, https://reactjs.org/docs/getting-started.html"
JID023,"Machine Learning Engineer -  CI/CD, Node.js, REST APIs, NoSQL, Machine Learning.","Data Analysis, Java, React, AWS, JavaScript.",27.991855144500732,rest,https://restfulapi.net/
JID053,"QA Engineer -  Azure, GCP, HTML, Agile Methodologies, Linux, Java, C++.","Data Analysis, Angular, Node.js, CI/CD, JavaScript.",26.640671491622925,"linux, java","https://www.edx.org/learn/linux, https://www.javatpoint.com/java-tutorial"
JID038,"Database Administrator -  Node.js, C++, JavaScript, Java, CI/CD, NoSQL, Machine Learning, Azure.","Git, AWS, React, CSS, REST APIs, Java, JavaScript.",25.046133995056152,,
